victim_date,role,victim,age
2019-08-04,PASAJERO_ACOMPAÑANTE,MOTO,-1
2019-08-06,CONDUCTOR,MOTO,20
2019-08-08,PEATON,PEATON,55
2019-08-11,PEATON,PEATON,40
2019-08-14,CONDUCTOR,MOTO,35
2019-08-14,CONDUCTOR,MOTO,53
2019-08-17,CONDUCTOR,MOTO,43
2019-08-22,CONDUCTOR,MOTO,25
2019-08-27,PEATON,PEATON,-1
2019-08-28,CONDUCTOR,AUTO,22
2019-08-29,CONDUCTOR,AUTO,29
2019-08-29,CONDUCTOR,MOTO,35
2019-08-30,CONDUCTOR,MOTO,31
2019-09-05,CONDUCTOR,MOTO,29
2019-09-08,PEATON,PEATON,28
2019-09-12,PEATON,PEATON,72
2019-09-17,CONDUCTOR,MOTO,57
2019-09-17,PEATON,PEATON,76
2019-09-23,PEATON,PEATON,67
2019-09-25,CICLISTA,BICICLETA,47
2019-09-26,CONDUCTOR,AUTO,73
2019-09-27,CICLISTA,BICICLETA,40
2019-10-09,CICLISTA,BICICLETA,20
2019-10-15,CONDUCTOR,MOTO,29
2019-10-21,CONDUCTOR,MOTO,41
2019-10-22,PEATON,PEATON,27
2019-10-23,PEATON,PEATON,92
2019-10-24,PEATON,PEATON,67
2019-11-01,PEATON,PEATON,35
2019-11-03,PEATON,PEATON,37
2019-11-13,CICLISTA,BICICLETA,16
2019-11-18,PASAJERO_ACOMPAÑANTE,MOTO,-1
2019-11-20,CONDUCTOR,MOTO,-1
2019-11-22,PEATON,PEATON,73
2019-11-25,PASAJERO_ACOMPAÑANTE,MOTO,23
2019-11-25,PASAJERO_ACOMPAÑANTE,PASAJEROS,61
2019-12-05,CONDUCTOR,MOTO,38
2019-12-17,CONDUCTOR,MOTO,25
2019-12-17,CONDUCTOR,MOTO,18
2019-12-18,CONDUCTOR,MOTO,24
2019-12-21,PASAJERO_ACOMPAÑANTE,MOTO,23
2020-01-04,PEATON,PEATON,87
2020-01-05,CONDUCTOR,MOTO,36
2020-01-11,PEATON,PEATON,44
2020-01-14,PEATON,PEATON,82
2020-01-14,CONDUCTOR,MOTO,25
2020-01-20,CONDUCTOR,MOTO,23
2020-01-27,PEATON,PEATON,52
2020-01-30,CONDUCTOR,MOTO,49
2020-02-04,PEATON,PEATON,48
2020-02-08,CONDUCTOR,MOTO,-1
2020-02-12,CONDUCTOR,MOTO,31
2020-02-18,PEATON,PEATON,66
2020-02-20,PEATON,PEATON,58
2020-02-27,CONDUCTOR,MOTO,-1
2020-02-28,CONDUCTOR,MOTO,29
2020-02-29,PEATON,PEATON,68
2020-03-05,PEATON,PEATON,-1
2020-03-09,CONDUCTOR,MOTO,31
2020-03-10,PEATON,PEATON,80
2020-03-13,PEATON,PEATON,74
2020-03-14,PEATON,PEATON,87
2020-04-07,PASAJERO_ACOMPAÑANTE,AUTO,44
2020-04-09,CONDUCTOR,AUTO,44
2020-04-24,CONDUCTOR,AUTO,53
2020-05-12,PEATON,PEATON,-1
2020-05-17,CONDUCTOR,MOTO,28
2020-05-18,PEATON,PEATON,76
2020-05-19,PEATON,PEATON,91
2020-06-10,PEATON,PEATON,80
2020-06-16,CONDUCTOR,MOTO,40
2020-06-30,CONDUCTOR,MOTO,29
2020-07-10,CONDUCTOR,MOTO,21
2020-07-19,CONDUCTOR,AUTO,32
2020-08-02,PEATON,PEATON,-1
2020-08-04,CONDUCTOR,MOTO,40
2020-08-07,PEATON,PEATON,72
2020-08-29,PEATON,PEATON,38
2020-08-30,CONDUCTOR,AUTO,46
2020-08-30,CONDUCTOR,AUTO,64
2020-09-01,PEATON,PEATON,44
2020-09-12,CONDUCTOR,AUTO,-1
2020-09-28,CONDUCTOR,MOTO,34
2020-09-29,PEATON,PEATON,53
2020-09-30,PEATON,PEATON,64
2020-10-05,CONDUCTOR,AUTO,43
2020-10-19,CONDUCTOR,AUTO,50
2020-10-27,CONDUCTOR,MOTO,41
2020-10-27,PEATON,PEATON,15
2020-10-29,CONDUCTOR,MOTO,41
2020-10-30,PEATON,PEATON,36
2020-11-01,PEATON,PEATON,28
2020-11-05,CONDUCTOR,MOTO,49
2020-11-07,CICLISTA,BICICLETA,44
2020-11-09,PASAJERO_ACOMPAÑANTE,AUTO,27
2020-11-19,CICLISTA,BICICLETA,59
2020-11-19,PEATON,PEATON,91
2020-11-21,CONDUCTOR,MOTO,34
2020-11-23,PEATON,PEATON,84
2020-11-24,PEATON,PEATON,57
2020-12-01,PEATON,PEATON,49
2020-12-03,PEATON,PEATON,69
2020-12-03,CONDUCTOR,MOTO,45
2020-12-04,CICLISTA,BICICLETA,47
2020-12-05,PEATON,PEATON,38
2020-12-05,PASAJERO_ACOMPAÑANTE,MOTO,21
2020-12-05,CONDUCTOR,MOTO,24
2020-12-07,CONDUCTOR,MOTO,27
2020-12-11,PEATON,PEATON,51
2020-12-12,CONDUCTOR,MOTO,71
2020-12-15,PASAJERO_ACOMPAÑANTE,MOTO,25
2020-12-17,PEATON,PEATON,81
2020-12-17,PEATON,PEATON,4
2020-12-19,CICLISTA,BICICLETA,42
2020-12-20,CONDUCTOR,MOTO,56
2020-12-20,CONDUCTOR,AUTO,39
2020-12-23,PEATON,PEATON,23
2020-12-24,CONDUCTOR,AUTO,78
2020-12-25,CONDUCTOR,MOTO,30
2020-12-25,PASAJERO_ACOMPAÑANTE,MOTO,24
2020-12-25,CICLISTA,BICICLETA,26
2020-12-27,CONDUCTOR,MOTO,28
2021-01-06,CONDUCTOR,MOTO,36
2021-01-07,CONDUCTOR,MOTO,47
2021-01-10,CONDUCTOR,MOTO,27
2021-01-11,PEATON,PEATON,61
2021-01-11,PEATON,PEATON,73
